"from","to","node1_string_internal_id","node2_string_internal_id","node1_external_id","node2_external_id","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score","Tipo"
"SYT1","STX1A",1844863,1842945,"9606.ENSP00000261205","9606.ENSP00000222812",0,0,0,0,0.106,0.988,0.9,0.841,0.999,"Cerebro"
"NRAS","PIK3CA",1855051,1845446,"9606.ENSP00000358548","9606.ENSP00000263967",0,0,0,0,0.052,0.97,0.9,0.538,0.998,"Cerebro"
"PIK3R1","PIK3CA",1846375,1845446,"9606.ENSP00000274335","9606.ENSP00000263967",0,0,0,0,0.127,0.946,0.9,0.681,0.998,"Cerebro"
"EGFR","KRAS",1846445,1844404,"9606.ENSP00000275493","9606.ENSP00000256078",0,0,0,0,0,0.612,0.9,0.965,0.998,"Cerebro"
"TP53","CREBBP",1846083,1845124,"9606.ENSP00000269305","9606.ENSP00000262367",0,0,0,0,0.054,0.934,0.9,0.72,0.998,"Cerebro"
"PTEN","PIK3CA",1855586,1845446,"9606.ENSP00000361021","9606.ENSP00000263967",0,0,0,0,0.187,0.319,0.9,0.98,0.998,"Cerebro"
"CTNNB1","CDH1",1852818,1844988,"9606.ENSP00000344456","9606.ENSP00000261769",0,0,0,0,0.051,0.552,0.9,0.943,0.997,"Cerebro"
"TP53","CDKN2A",1859838,1846083,"9606.ENSP00000394932","9606.ENSP00000269305",0,0,0,0,0,0.376,0.9,0.964,0.997,"Cerebro"
"EGFR","TP53",1846445,1846083,"9606.ENSP00000275493","9606.ENSP00000269305",0,0,0,0,0,0.126,0.9,0.958,0.996,"Cerebro"
"TP53","MYC",1856789,1846083,"9606.ENSP00000367207","9606.ENSP00000269305",0,0,0,0,0.055,0.095,0.9,0.965,0.996,"Cerebro"
"TP53","PTEN",1855586,1846083,"9606.ENSP00000361021","9606.ENSP00000269305",0,0,0,0,0,0.407,0.9,0.942,0.996,"Cerebro"
"TP53","RB1",1846083,1845924,"9606.ENSP00000269305","9606.ENSP00000267163",0,0,0,0,0,0.325,0.9,0.951,0.996,"Cerebro"
"NRAS","BRAF",1855051,1847131,"9606.ENSP00000358548","9606.ENSP00000288602",0,0,0,0,0.05,0.783,0.9,0.809,0.995,"Cerebro"
"SUFU","GLI2",1855131,1854160,"9606.ENSP00000358918","9606.ENSP00000354586",0,0,0,0,0.053,0.562,0.9,0.906,0.995,"Cerebro"
"SMARCA4","ARID1A",1853627,1850249,"9606.ENSP00000350720","9606.ENSP00000320485",0,0,0,0,0.114,0.833,0.9,0.748,0.995,"Cerebro"
"EGFR","TGFA",1847571,1846445,"9606.ENSP00000295400","9606.ENSP00000275493",0,0,0,0,0,0.866,0.9,0.63,0.994,"Cerebro"
"NIPBL","STAG2",1846802,1842691,"9606.ENSP00000282516","9606.ENSP00000218089",0,0,0,0,0.568,0.668,0.9,0.678,0.994,"Cerebro"
"TP53","EP300",1846083,1845316,"9606.ENSP00000269305","9606.ENSP00000263253",0,0,0,0,0.053,0.67,0.9,0.839,0.994,"Cerebro"
"RPL5","EEF1A1",1855221,1851211,"9606.ENSP00000359345","9606.ENSP00000330054",0,0,0,0,0.83,0.503,0.9,0.449,0.994,"Cerebro"
"EGFR","PIK3CA",1846445,1845446,"9606.ENSP00000275493","9606.ENSP00000263967",0,0,0,0,0,0,0.9,0.95,0.994,"Cerebro"
"EGFR","CTNNB1",1852818,1846445,"9606.ENSP00000344456","9606.ENSP00000275493",0,0,0,0,0.055,0.512,0.9,0.894,0.994,"Cerebro"
"EGFR","PTPN11",1852389,1846445,"9606.ENSP00000340944","9606.ENSP00000275493",0,0,0,0,0,0.615,0.9,0.87,0.994,"Cerebro"
"EGFR","CDH1",1846445,1844988,"9606.ENSP00000275493","9606.ENSP00000261769",0,0,0,0,0.054,0.387,0.9,0.897,0.993,"Cerebro"
"CDKN2A","MYC",1859838,1856789,"9606.ENSP00000394932","9606.ENSP00000367207",0,0,0,0,0,0.36,0.9,0.909,0.993,"Cerebro"
"BRAF","KRAS",1847131,1844404,"9606.ENSP00000288602","9606.ENSP00000256078",0,0,0,0,0.101,0.675,0.9,0.792,0.993,"Cerebro"
"MYC","RB1",1856789,1845924,"9606.ENSP00000367207","9606.ENSP00000267163",0,0,0,0,0,0.36,0.9,0.905,0.993,"Cerebro"
"CDKN2A","RB1",1859838,1845924,"9606.ENSP00000394932","9606.ENSP00000267163",0,0,0,0,0,0.068,0.9,0.932,0.993,"Cerebro"
"CTNNB1","NOTCH1",1852818,1846535,"9606.ENSP00000344456","9606.ENSP00000277541",0,0,0,0,0.063,0.364,0.9,0.875,0.991,"Cerebro"
"VEGFA","PIK3CA",1855611,1845446,"9606.ENSP00000361125","9606.ENSP00000263967",0,0,0,0,0,0,0.9,0.915,0.991,"Cerebro"
"CENPF","FOXM1",1854480,1852579,"9606.ENSP00000355922","9606.ENSP00000342307",0,0,0,0,0.784,0,0.9,0.632,0.991,"Cerebro"
"CTNNB1","MYC",1856789,1852818,"9606.ENSP00000367207","9606.ENSP00000344456",0,0,0,0,0,0.329,0.9,0.856,0.989,"Cerebro"
"GLI2","PTCH1",1854160,1851463,"9606.ENSP00000354586","9606.ENSP00000332353",0,0,0,0,0.063,0.295,0.8,0.914,0.987,"Cerebro"
"EGFR","VEGFA",1855611,1846445,"9606.ENSP00000361125","9606.ENSP00000275493",0,0,0,0,0,0,0.8,0.942,0.987,"Cerebro"
"PIK3CA","KRAS",1845446,1844404,"9606.ENSP00000263967","9606.ENSP00000256078",0,0,0,0,0.096,0.879,0,0.896,0.987,"Cerebro"
"EGFR","PLCG1",1846445,1843693,"9606.ENSP00000275493","9606.ENSP00000244007",0,0,0,0,0,0.527,0.9,0.736,0.986,"Cerebro"
"CTNNB1","CREBBP",1852818,1845124,"9606.ENSP00000344456","9606.ENSP00000262367",0,0,0,0,0.053,0.642,0.9,0.644,0.986,"Cerebro"
"NOTCH1","DLL4",1846535,1843973,"9606.ENSP00000277541","9606.ENSP00000249749",0,0,0,0.704,0.051,0.823,0.9,0.919,0.986,"Cerebro"
"NRAS","EGFR",1855051,1846445,"9606.ENSP00000358548","9606.ENSP00000275493",0,0,0,0,0,0.42,0.9,0.731,0.983,"Cerebro"
"MYC","NOTCH1",1856789,1846535,"9606.ENSP00000367207","9606.ENSP00000277541",0,0,0,0,0,0,0.9,0.845,0.983,"Cerebro"
"BRPF1","KAT6B",1857747,1847060,"9606.ENSP00000373340","9606.ENSP00000287239",0,0,0,0,0.072,0.52,0.9,0.663,0.983,"Cerebro"
"CTNNB1","SMARCA4",1853627,1852818,"9606.ENSP00000350720","9606.ENSP00000344456",0,0,0,0,0.073,0.541,0.9,0.645,0.982,"Cerebro"
"MYC","MAX",1856789,1853721,"9606.ENSP00000367207","9606.ENSP00000351490",0,0,0,0.72,0,0.778,0.9,0.736,0.981,"Cerebro"
"SMARCA4","ARID2",1853627,1851800,"9606.ENSP00000350720","9606.ENSP00000335044",0,0,0,0,0.233,0.398,0.9,0.655,0.981,"Cerebro"
"PIK3CA","CDH1",1845446,1844988,"9606.ENSP00000263967","9606.ENSP00000261769",0,0,0,0,0.044,0,0.9,0.814,0.98,"Cerebro"
"MYC","TERT",1856789,1849199,"9606.ENSP00000367207","9606.ENSP00000309572",0,0,0,0,0,0,0.9,0.807,0.979,"Cerebro"
"CTNNB1","EP300",1852818,1845316,"9606.ENSP00000344456","9606.ENSP00000263253",0,0,0,0,0.047,0.642,0.9,0.476,0.979,"Cerebro"
"PTPN11","PIK3CA",1852389,1845446,"9606.ENSP00000340944","9606.ENSP00000263967",0,0,0,0,0.053,0,0.9,0.791,0.978,"Cerebro"
"SMARCA4","TERT",1853627,1849199,"9606.ENSP00000350720","9606.ENSP00000309572",0,0,0,0,0.059,0.378,0.9,0.67,0.978,"Cerebro"
"MYC","EP300",1856789,1845316,"9606.ENSP00000367207","9606.ENSP00000263253",0,0,0,0,0,0.368,0.9,0.667,0.977,"Cerebro"
"MYC","PIK3CA",1856789,1845446,"9606.ENSP00000367207","9606.ENSP00000263967",0,0,0,0,0,0.042,0.9,0.782,0.977,"Cerebro"
"MYC","DNMT3A",1856789,1845601,"9606.ENSP00000367207","9606.ENSP00000264709",0,0,0,0,0,0.336,0.9,0.67,0.976,"Cerebro"
"CAMK2A","CAMK2G",1858598,1850110,"9606.ENSP00000381412","9606.ENSP00000319060",0,0,0.527,0.985,0.054,0.772,0.9,0.501,0.976,"Cerebro"
"CTNNB1","SOX9",1852818,1843760,"9606.ENSP00000344456","9606.ENSP00000245479",0,0,0,0,0,0.17,0.9,0.717,0.974,"Cerebro"
"PIK3R1","EGFR",1846445,1846375,"9606.ENSP00000275493","9606.ENSP00000274335",0,0,0,0,0,0.574,0.9,0.454,0.974,"Cerebro"
"TP53","TERT",1849199,1846083,"9606.ENSP00000309572","9606.ENSP00000269305",0,0,0,0,0,0.126,0.9,0.707,0.972,"Cerebro"
"RB1","EP300",1845924,1845316,"9606.ENSP00000267163","9606.ENSP00000263253",0,0,0,0,0.054,0.376,0.9,0.578,0.971,"Cerebro"
"RPL5","EIF1AX",1857062,1855221,"9606.ENSP00000368927","9606.ENSP00000359345",0.309,0,0,0,0.464,0,0.9,0.311,0.971,"Cerebro"
"CDKN2A","PIK3CA",1859838,1845446,"9606.ENSP00000394932","9606.ENSP00000263967",0,0,0,0,0.056,0.145,0.9,0.679,0.97,"Cerebro"
"NF1","KRAS",1853658,1844404,"9606.ENSP00000351015","9606.ENSP00000256078",0,0,0,0,0.099,0.364,0.9,0.524,0.969,"Cerebro"
"MYC","CREBBP",1856789,1845124,"9606.ENSP00000367207","9606.ENSP00000262367",0,0,0,0,0,0.368,0.9,0.548,0.969,"Cerebro"
"PTPN11","KRAS",1852389,1844404,"9606.ENSP00000340944","9606.ENSP00000256078",0,0,0,0,0.091,0.296,0.9,0.566,0.968,"Cerebro"
"SMARCA4","CREBBP",1853627,1845124,"9606.ENSP00000350720","9606.ENSP00000262367",0,0,0,0,0.1,0.434,0.9,0.458,0.968,"Cerebro"
"VEGFA","EP300",1855611,1845316,"9606.ENSP00000361125","9606.ENSP00000263253",0,0,0,0,0,0.403,0.9,0.504,0.967,"Cerebro"
"CTNNB1","PIK3CA",1852818,1845446,"9606.ENSP00000344456","9606.ENSP00000263967",0,0,0,0,0.064,0.054,0.9,0.677,0.967,"Cerebro"
"SMARCA4","DNMT3A",1853627,1845601,"9606.ENSP00000350720","9606.ENSP00000264709",0,0,0,0,0.053,0.096,0.9,0.666,0.967,"Cerebro"
"PIK3R1","CTNNB1",1852818,1846375,"9606.ENSP00000344456","9606.ENSP00000274335",0,0,0,0,0,0.572,0.9,0.295,0.967,"Cerebro"
"NOTCH1","EP300",1846535,1845316,"9606.ENSP00000277541","9606.ENSP00000263253",0,0,0,0,0.079,0.397,0.9,0.47,0.966,"Cerebro"
"PIK3CA","PLCG1",1845446,1843693,"9606.ENSP00000263967","9606.ENSP00000244007",0,0,0,0,0.103,0.293,0.9,0.515,0.965,"Cerebro"
"COL6A2","COL6A3",1848188,1847586,"9606.ENSP00000300527","9606.ENSP00000295550",0,0,0,0.647,0.514,0,0.9,0.785,0.963,"Cerebro"
"CTNNB1","TERT",1852818,1849199,"9606.ENSP00000344456","9606.ENSP00000309572",0,0,0,0,0,0.378,0.9,0.415,0.96,"Cerebro"
"NRAS","NF1",1855051,1853658,"9606.ENSP00000358548","9606.ENSP00000351015",0,0,0,0,0.055,0.293,0.9,0.47,0.959,"Cerebro"
"SMARCA4","NF1",1853658,1853627,"9606.ENSP00000351015","9606.ENSP00000350720",0,0,0,0,0.095,0.407,0.9,0.31,0.958,"Cerebro"
"NRAS","PTPN11",1855051,1852389,"9606.ENSP00000358548","9606.ENSP00000340944",0,0,0,0,0.091,0.296,0.9,0.425,0.958,"Cerebro"
"CTNNB1","PTPN11",1852818,1852389,"9606.ENSP00000344456","9606.ENSP00000340944",0,0,0,0,0.073,0.376,0.9,0.348,0.957,"Cerebro"
"MYC","GFI1",1856789,1847499,"9606.ENSP00000367207","9606.ENSP00000294702",0,0,0,0,0,0.057,0.9,0.589,0.957,"Cerebro"
"VEGFA","CREBBP",1855611,1845124,"9606.ENSP00000361125","9606.ENSP00000262367",0,0,0,0,0,0.368,0.9,0.341,0.954,"Cerebro"
"IDH2","IDH1",1851406,1844837,"9606.ENSP00000331897","9606.ENSP00000260985",0,0,0.527,0.978,0,0.774,0.8,0.916,0.954,"Cerebro"
"PIK3R1","PTPN11",1852389,1846375,"9606.ENSP00000340944","9606.ENSP00000274335",0,0,0,0,0,0.398,0.9,0.277,0.952,"Cerebro"
"MLL2","EP300",1848242,1845316,"9606.ENSP00000301067","9606.ENSP00000263253",0,0,0,0,0.161,0.12,0.9,0.427,0.952,"Cerebro"
"RIMS1","STX1A",1861746,1842945,"9606.ENSP00000428417","9606.ENSP00000222812",0,0,0,0,0.052,0.36,0.9,0.295,0.951,"Cerebro"
"TERT","RB1",1849199,1845924,"9606.ENSP00000309572","9606.ENSP00000267163",0,0,0,0,0.096,0,0.9,0.502,0.951,"Cerebro"
"SMARCA4","RB1",1853627,1845924,"9606.ENSP00000350720","9606.ENSP00000267163",0,0,0,0,0.089,0.407,0.72,0.711,0.95,"Cerebro"
"EP300","CREBBP",1845316,1845124,"9606.ENSP00000263253","9606.ENSP00000262367",0,0,0,0.954,0.226,0.378,0.9,0.821,0.949,"Cerebro"
"SYT1","RIMS1",1861746,1844863,"9606.ENSP00000428417","9606.ENSP00000261205",0,0,0,0.628,0.129,0.36,0.9,0.425,0.948,"Cerebro"
"EGFR","TERT",1849199,1846445,"9606.ENSP00000309572","9606.ENSP00000275493",0,0,0,0,0,0,0.9,0.493,0.947,"Cerebro"
"CTNNB1","MLL2",1852818,1848242,"9606.ENSP00000344456","9606.ENSP00000301067",0,0,0,0,0.054,0.405,0.9,0.168,0.946,"Cerebro"
"MLL2","CREBBP",1848242,1845124,"9606.ENSP00000301067","9606.ENSP00000262367",0,0,0,0,0.195,0.12,0.9,0.335,0.946,"Cerebro"
"PTPN11","VEGFA",1855611,1852389,"9606.ENSP00000361125","9606.ENSP00000340944",0,0,0,0,0,0,0.9,0.48,0.945,"Cerebro"
"TP53","CSNK2B",1856397,1846083,"9606.ENSP00000365025","9606.ENSP00000269305",0,0,0,0,0,0.36,0.9,0.192,0.943,"Cerebro"
"EP300","MAX",1853721,1845316,"9606.ENSP00000351490","9606.ENSP00000263253",0,0,0,0,0.13,0.36,0.9,0.098,0.943,"Cerebro"
"TP53","TP63",1846083,1845611,"9606.ENSP00000269305","9606.ENSP00000264731",0,0,0,0.891,0,0.407,0.9,0.68,0.942,"Cerebro"
"TP53","VEGFA",1855611,1846083,"9606.ENSP00000361125","9606.ENSP00000269305",0,0,0,0,0,0,0,0.941,0.941,"Cerebro"
"PIK3R1","PLCG1",1846375,1843693,"9606.ENSP00000274335","9606.ENSP00000244007",0,0,0,0.612,0.069,0.326,0.9,0.4,0.941,"Cerebro"
"TP53","TGFA",1847571,1846083,"9606.ENSP00000295400","9606.ENSP00000269305",0,0,0,0,0,0,0.9,0.44,0.941,"Cerebro"
"RB1","CREBBP",1845924,1845124,"9606.ENSP00000267163","9606.ENSP00000262367",0,0,0,0,0.054,0.065,0.9,0.412,0.941,"Cerebro"
"EGFR","NOTCH1",1846535,1846445,"9606.ENSP00000277541","9606.ENSP00000275493",0,0,0,0,0.066,0.292,0,0.914,0.938,"Cerebro"
"NOTCH1","CREBBP",1846535,1845124,"9606.ENSP00000277541","9606.ENSP00000262367",0,0,0,0,0.053,0.097,0.9,0.358,0.937,"Cerebro"
"TP53","TYRP1",1857771,1846083,"9606.ENSP00000373570","9606.ENSP00000269305",0,0,0,0,0,0,0.9,0.38,0.935,"Cerebro"
"ARID1A","CREBBP",1850249,1845124,"9606.ENSP00000320485","9606.ENSP00000262367",0,0,0,0,0.28,0.069,0.9,0.156,0.935,"Cerebro"
"NRAS","PIK3R1",1855051,1846375,"9606.ENSP00000358548","9606.ENSP00000274335",0,0,0,0,0,0.096,0.9,0.324,0.933,"Cerebro"
"TERT","EP300",1849199,1845316,"9606.ENSP00000309572","9606.ENSP00000263253",0,0,0,0,0.051,0.071,0.9,0.321,0.932,"Cerebro"
"VEGFA","PLCG1",1855611,1843693,"9606.ENSP00000361125","9606.ENSP00000244007",0,0,0,0,0,0,0.9,0.345,0.931,"Cerebro"
"CD44","NANOG",1860096,1843195,"9606.ENSP00000398632","9606.ENSP00000229307",0,0,0,0,0,0,0.8,0.665,0.93,"Cerebro"
"EP300","FOXM1",1852579,1845316,"9606.ENSP00000342307","9606.ENSP00000263253",0,0,0,0,0,0.069,0.9,0.316,0.93,"Cerebro"
"PIK3R1","MYC",1856789,1846375,"9606.ENSP00000367207","9606.ENSP00000274335",0,0,0,0,0,0,0.9,0.33,0.93,"Cerebro"
"PIK3CA","IL4R",1845446,1842312,"9606.ENSP00000263967","9606.ENSP00000170630",0,0,0,0,0.106,0,0.9,0.277,0.929,"Cerebro"
"TP53","KRAS",1846083,1844404,"9606.ENSP00000269305","9606.ENSP00000256078",0,0,0,0,0,0,0,0.927,0.928,"Cerebro"
"COL4A2","COL8A1",1854011,1844844,"9606.ENSP00000353654","9606.ENSP00000261037",0,0,0,0,0.053,0,0.9,0.295,0.927,"Cerebro"
"CAMK2A","PLCG1",1858598,1843693,"9606.ENSP00000381412","9606.ENSP00000244007",0,0,0,0,0,0.285,0.9,0.069,0.927,"Cerebro"
"TP53","MAX",1853721,1846083,"9606.ENSP00000351490","9606.ENSP00000269305",0,0,0,0,0,0,0.9,0.304,0.927,"Cerebro"
"PTEN","PIK3C2G",1855586,1845872,"9606.ENSP00000361021","9606.ENSP00000266497",0,0,0,0,0.056,0.18,0.9,0.174,0.927,"Cerebro"
"EPHA7","EPHA3",1854997,1852002,"9606.ENSP00000358309","9606.ENSP00000337451",0,0,0,0.974,0.046,0.285,0.9,0.553,0.926,"Cerebro"
"COL6A3","COL8A1",1847586,1844844,"9606.ENSP00000295550","9606.ENSP00000261037",0,0,0,0,0.054,0,0.9,0.289,0.926,"Cerebro"
"EGFR","PTEN",1855586,1846445,"9606.ENSP00000361021","9606.ENSP00000275493",0,0,0,0,0,0,0,0.925,0.925,"Cerebro"
"PIK3R1","CDH1",1846375,1844988,"9606.ENSP00000274335","9606.ENSP00000261769",0,0,0,0,0,0.173,0.9,0.17,0.925,"Cerebro"
"COL6A2","COL4A2",1854011,1848188,"9606.ENSP00000353654","9606.ENSP00000300527",0,0,0,0.616,0.156,0,0.9,0.36,0.923,"Cerebro"
"CAMK2A","KRAS",1858598,1844404,"9606.ENSP00000381412","9606.ENSP00000256078",0,0,0,0,0,0,0.9,0.27,0.923,"Cerebro"
"COL4A2","COL6A3",1854011,1847586,"9606.ENSP00000353654","9606.ENSP00000295550",0,0,0,0.61,0.158,0,0.9,0.369,0.923,"Cerebro"
"PIK3R1","VEGFA",1855611,1846375,"9606.ENSP00000361125","9606.ENSP00000274335",0,0,0,0,0,0,0.9,0.263,0.923,"Cerebro"
"CAMK2G","KRAS",1850110,1844404,"9606.ENSP00000319060","9606.ENSP00000256078",0,0,0,0,0,0,0.9,0.262,0.923,"Cerebro"
"TERT","CREBBP",1849199,1845124,"9606.ENSP00000309572","9606.ENSP00000262367",0,0,0,0,0.051,0.071,0.9,0.222,0.922,"Cerebro"
"SMARCA4","H3F3A",1854454,1853627,"9606.ENSP00000355778","9606.ENSP00000350720",0,0,0,0,0,0.809,0,0.607,0.922,"Cerebro"
"PIK3R1","CDKN2A",1859838,1846375,"9606.ENSP00000394932","9606.ENSP00000274335",0,0,0,0,0,0,0.9,0.258,0.922,"Cerebro"
"PTEN","PLCG1",1855586,1843693,"9606.ENSP00000361021","9606.ENSP00000244007",0,0,0,0,0.054,0,0.9,0.241,0.921,"Cerebro"
"ACAN","SOX9",1859267,1843760,"9606.ENSP00000387356","9606.ENSP00000245479",0,0,0,0,0,0,0,0.92,0.92,"Cerebro"
"BRPF1","EP300",1857747,1845316,"9606.ENSP00000373340","9606.ENSP00000263253",0,0,0,0.609,0.124,0.12,0.9,0.097,0.918,"Cerebro"
"VEGFA","CCL2",1855611,1843055,"9606.ENSP00000361125","9606.ENSP00000225831",0,0,0,0,0,0,0,0.916,0.916,"Cerebro"
"PIK3C2G","PLCG1",1845872,1843693,"9606.ENSP00000266497","9606.ENSP00000244007",0,0,0,0,0.068,0.139,0.9,0.078,0.916,"Cerebro"
"NF1","ARID1A",1853658,1850249,"9606.ENSP00000351015","9606.ENSP00000320485",0,0,0,0,0.054,0,0.9,0.192,0.916,"Cerebro"
"VEGFA","F5",1855611,1854661,"9606.ENSP00000361125","9606.ENSP00000356771",0,0,0,0,0,0,0.9,0.185,0.915,"Cerebro"
"TERT","MAX",1853721,1849199,"9606.ENSP00000351490","9606.ENSP00000309572",0,0,0,0,0,0,0.9,0.193,0.915,"Cerebro"
"SYT1","EGFR",1846445,1844863,"9606.ENSP00000275493","9606.ENSP00000261205",0,0,0,0,0,0,0.9,0.186,0.915,"Cerebro"
"MAX","CREBBP",1853721,1845124,"9606.ENSP00000351490","9606.ENSP00000262367",0,0,0,0,0.169,0,0.9,0.046,0.913,"Cerebro"
"CENPF","CLIP1",1854480,1848555,"9606.ENSP00000355922","9606.ENSP00000303585",0,0,0,0,0,0,0.9,0.173,0.913,"Cerebro"
"COL6A2","COL8A1",1848188,1844844,"9606.ENSP00000300527","9606.ENSP00000261037",0,0,0,0.633,0.056,0,0.9,0.31,0.911,"Cerebro"
"GFI1","DNMT3A",1847499,1845601,"9606.ENSP00000294702","9606.ENSP00000264709",0,0,0,0,0,0,0.9,0.15,0.911,"Cerebro"
"TP53","BRPF1",1857747,1846083,"9606.ENSP00000373340","9606.ENSP00000269305",0,0,0,0,0,0,0.9,0.143,0.91,"Cerebro"
"TP53","CDH1",1846083,1844988,"9606.ENSP00000269305","9606.ENSP00000261769",0,0,0,0,0,0,0,0.909,0.909,"Cerebro"
"ARID1A","DNMT3A",1850249,1845601,"9606.ENSP00000320485","9606.ENSP00000264709",0,0,0,0,0.046,0,0.9,0.127,0.909,"Cerebro"
"NRAS","CAMK2A",1858598,1855051,"9606.ENSP00000381412","9606.ENSP00000358548",0,0,0,0,0,0,0.9,0.128,0.909,"Cerebro"
"CENPF","TOP2A",1860923,1854480,"9606.ENSP00000411532","9606.ENSP00000355922",0,0,0,0,0.868,0,0,0.341,0.909,"Cerebro"
"NRAS","CAMK2G",1855051,1850110,"9606.ENSP00000358548","9606.ENSP00000319060",0,0,0,0,0,0,0.9,0.128,0.909,"Cerebro"
"SLC6A3","CDH1",1846148,1844988,"9606.ENSP00000270349","9606.ENSP00000261769",0,0,0,0,0,0,0.9,0.127,0.908,"Cerebro"
"TP53","CD44",1860096,1846083,"9606.ENSP00000398632","9606.ENSP00000269305",0,0,0,0,0,0.36,0,0.862,0.908,"Cerebro"
"CLIP1","STAG2",1848555,1842691,"9606.ENSP00000303585","9606.ENSP00000218089",0,0,0,0,0.106,0,0.9,0.046,0.907,"Cerebro"
"MAX","KANSL1",1853721,1845137,"9606.ENSP00000351490","9606.ENSP00000262419",0,0,0,0,0.112,0,0.9,0,0.907,"Cerebro"
"ARID2","DNMT3A",1851800,1845601,"9606.ENSP00000335044","9606.ENSP00000264709",0,0,0,0,0.053,0,0.9,0.09,0.906,"Cerebro"
"TP53","SMARCA4",1853627,1846083,"9606.ENSP00000350720","9606.ENSP00000269305",0,0,0,0,0.045,0.678,0,0.71,0.903,"Cerebro"
"NRAS","KRAS",1855051,1844404,"9606.ENSP00000358548","9606.ENSP00000256078",0,0,0.527,0.983,0.045,0,0.9,0.53,0.902,"Cerebro"
