"from","to","node1_string_internal_id","node2_string_internal_id","node1_external_id","node2_external_id","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score","Tipo"
"ARID1A","ARID2",1851800,1850249,"9606.ENSP00000335044","9606.ENSP00000320485",0,0,0,0.608,0.174,0.071,0.36,0.621,0.593,"Cerebro"
"BRAF","PIK3CA",1847131,1845446,"9606.ENSP00000288602","9606.ENSP00000263967",0,0,0,0,0.226,0,0,0.494,0.592,"Cerebro"
"PIK3R1","KRAS",1846375,1844404,"9606.ENSP00000274335","9606.ENSP00000256078",0,0,0,0,0.087,0.169,0,0.504,0.591,"Cerebro"
"NRAS","TP53",1855051,1846083,"9606.ENSP00000358548","9606.ENSP00000269305",0,0,0,0,0,0,0,0.59,0.59,"Cerebro"
"SMARCA4","DDX5",1853627,1843052,"9606.ENSP00000350720","9606.ENSP00000225792",0,0,0,0,0.074,0.328,0,0.394,0.59,"Cerebro"
"GLI2","CDH1",1854160,1844988,"9606.ENSP00000354586","9606.ENSP00000261769",0,0,0,0,0,0,0,0.589,0.589,"Cerebro"
"NOTCH1","TCF12",1851305,1846535,"9606.ENSP00000331057","9606.ENSP00000277541",0,0,0,0,0.052,0.311,0,0.42,0.588,"Cerebro"
"TOP2A","DDX5",1860923,1843052,"9606.ENSP00000411532","9606.ENSP00000225792",0,0,0,0,0.074,0.104,0,0.543,0.587,"Cerebro"
"CD44","CCL2",1860096,1843055,"9606.ENSP00000398632","9606.ENSP00000225831",0,0,0,0,0.074,0,0,0.573,0.587,"Cerebro"
"NOTCH1","NANOG",1846535,1843195,"9606.ENSP00000277541","9606.ENSP00000229307",0,0,0,0,0,0.067,0,0.575,0.586,"Cerebro"
"MKI67","CDH1",1854841,1844988,"9606.ENSP00000357643","9606.ENSP00000261769",0,0,0,0,0,0,0,0.586,0.586,"Cerebro"
"EGFR","SOX9",1846445,1843760,"9606.ENSP00000275493","9606.ENSP00000245479",0,0,0,0,0.055,0,0,0.577,0.583,"Cerebro"
"EP300","TCF12",1851305,1845316,"9606.ENSP00000331057","9606.ENSP00000263253",0,0,0,0,0.067,0.407,0,0.305,0.582,"Cerebro"
"VEGFA","CAMK2G",1855611,1850110,"9606.ENSP00000361125","9606.ENSP00000319060",0,0,0,0,0,0,0,0.581,0.581,"Cerebro"
"NRAS","CDKN2A",1859838,1855051,"9606.ENSP00000394932","9606.ENSP00000358548",0,0,0,0,0.049,0.12,0,0.539,0.581,"Cerebro"
"ARID1A","ABCD1",1850249,1842693,"9606.ENSP00000320485","9606.ENSP00000218104",0,0,0,0,0,0,0,0.58,0.58,"Cerebro"
"PTEN","SMARCA4",1855586,1853627,"9606.ENSP00000361021","9606.ENSP00000350720",0,0,0,0,0.056,0.057,0,0.562,0.577,"Cerebro"
"CD44","ABCG2",1860096,1843466,"9606.ENSP00000398632","9606.ENSP00000237612",0,0,0,0,0,0,0,0.576,0.576,"Cerebro"
"CTNNB1","GLI2",1854160,1852818,"9606.ENSP00000354586","9606.ENSP00000344456",0,0,0,0,0.058,0.292,0,0.416,0.576,"Cerebro"
"EEF1A1","KRAS",1851211,1844404,"9606.ENSP00000330054","9606.ENSP00000256078",0,0,0,0,0,0.149,0,0.519,0.574,"Cerebro"
"TP53","PTCH1",1851463,1846083,"9606.ENSP00000332353","9606.ENSP00000269305",0,0,0,0,0,0,0,0.574,0.574,"Cerebro"
"TP53","ABCG2",1846083,1843466,"9606.ENSP00000269305","9606.ENSP00000237612",0,0,0,0,0,0,0,0.574,0.574,"Cerebro"
"CTNNB1","CD44",1860096,1852818,"9606.ENSP00000398632","9606.ENSP00000344456",0,0,0,0,0,0,0,0.574,0.574,"Cerebro"
"PIK3CA","CD44",1860096,1845446,"9606.ENSP00000398632","9606.ENSP00000263967",0,0,0,0,0,0,0,0.573,0.573,"Cerebro"
"CTNNB1","FOXM1",1852818,1852579,"9606.ENSP00000344456","9606.ENSP00000342307",0,0,0,0,0,0.398,0,0.319,0.572,"Cerebro"
"PTEN","NF1",1855586,1853658,"9606.ENSP00000361021","9606.ENSP00000351015",0,0,0,0,0.079,0,0,0.551,0.569,"Cerebro"
"SMARCA4","PIK3C2G",1853627,1845872,"9606.ENSP00000350720","9606.ENSP00000266497",0,0,0,0,0.126,0.381,0,0.269,0.569,"Cerebro"
"EGFR","MKI67",1854841,1846445,"9606.ENSP00000357643","9606.ENSP00000275493",0,0,0,0,0,0,0,0.566,0.566,"Cerebro"
"PIK3CA","PIK3C2G",1845872,1845446,"9606.ENSP00000266497","9606.ENSP00000263967",0,0,0,0.706,0.048,0,0.54,0.204,0.566,"Cerebro"
"CSNK2B","CLIP1",1856397,1848555,"9606.ENSP00000365025","9606.ENSP00000303585",0,0,0,0,0,0.285,0,0.417,0.565,"Cerebro"
"EP300","ATRX",1855886,1845316,"9606.ENSP00000362441","9606.ENSP00000263253",0,0,0,0,0.144,0.197,0,0.417,0.565,"Cerebro"
"PIK3CA","CREBBP",1845446,1845124,"9606.ENSP00000263967","9606.ENSP00000262367",0,0,0,0,0.237,0.173,0,0.363,0.564,"Cerebro"
"CTNNB1","CDKN2A",1859838,1852818,"9606.ENSP00000394932","9606.ENSP00000344456",0,0,0,0,0,0.047,0,0.559,0.562,"Cerebro"
"MYC","DDX5",1856789,1843052,"9606.ENSP00000367207","9606.ENSP00000225792",0,0,0,0,0.045,0,0,0.559,0.561,"Cerebro"
"BRAF","LZTR1",1847131,1842500,"9606.ENSP00000288602","9606.ENSP00000215739",0,0,0,0,0.093,0,0,0.535,0.56,"Cerebro"
"FOXM1","SOX9",1852579,1843760,"9606.ENSP00000342307","9606.ENSP00000245479",0,0,0,0,0,0.097,0,0.531,0.559,"Cerebro"
"TP53","DDX5",1846083,1843052,"9606.ENSP00000269305","9606.ENSP00000225792",0,0,0,0,0,0.374,0,0.319,0.556,"Cerebro"
"RPL5","TOP2A",1860923,1855221,"9606.ENSP00000411532","9606.ENSP00000359345",0,0,0,0,0.126,0,0,0.513,0.556,"Cerebro"
"RB1","FOXM1",1852579,1845924,"9606.ENSP00000342307","9606.ENSP00000267163",0,0,0,0,0,0.326,0,0.364,0.553,"Cerebro"
"CREBBP","SOX9",1845124,1843760,"9606.ENSP00000262367","9606.ENSP00000245479",0,0,0,0,0.066,0.398,0,0.267,0.552,"Cerebro"
"SMARCA4","CD44",1860096,1853627,"9606.ENSP00000398632","9606.ENSP00000350720",0,0,0,0,0,0,0,0.55,0.55,"Cerebro"
"ARID2","ATRX",1855886,1851800,"9606.ENSP00000362441","9606.ENSP00000335044",0,0,0,0,0.515,0.066,0,0.077,0.547,"Cerebro"
"TP53","EPHA3",1852002,1846083,"9606.ENSP00000337451","9606.ENSP00000269305",0,0,0,0,0,0.374,0,0.306,0.547,"Cerebro"
"TP53","ITGA2",1847760,1846083,"9606.ENSP00000296585","9606.ENSP00000269305",0,0,0,0,0,0,0,0.546,0.546,"Cerebro"
"NANOG","ABCG2",1843466,1843195,"9606.ENSP00000237612","9606.ENSP00000229307",0,0,0,0,0,0,0,0.546,0.546,"Cerebro"
"DDX3X","KRAS",1858776,1844404,"9606.ENSP00000382840","9606.ENSP00000256078",0,0,0,0,0.092,0,0,0.521,0.546,"Cerebro"
"MLL2","MAX",1853721,1848242,"9606.ENSP00000351490","9606.ENSP00000301067",0,0,0,0,0.121,0.503,0,0,0.545,"Cerebro"
"EGFR","SMARCA4",1853627,1846445,"9606.ENSP00000350720","9606.ENSP00000275493",0,0,0,0,0.053,0,0,0.538,0.544,"Cerebro"
"PTEN","PTPN11",1855586,1852389,"9606.ENSP00000361021","9606.ENSP00000340944",0,0,0,0,0.056,0.096,0,0.508,0.544,"Cerebro"
"CTNNB1","DLL4",1852818,1843973,"9606.ENSP00000344456","9606.ENSP00000249749",0,0,0,0,0.043,0.052,0,0.536,0.543,"Cerebro"
"MYC","RPL5",1856789,1855221,"9606.ENSP00000367207","9606.ENSP00000359345",0,0,0,0,0,0,0,0.543,0.543,"Cerebro"
"CDKN2A","EP300",1859838,1845316,"9606.ENSP00000394932","9606.ENSP00000263253",0,0,0,0,0,0.097,0,0.515,0.543,"Cerebro"
"GLI2","BCOR",1856870,1854160,"9606.ENSP00000367705","9606.ENSP00000354586",0,0,0,0,0,0.528,0,0.066,0.541,"Cerebro"
"TP53","DDX3X",1858776,1846083,"9606.ENSP00000382840","9606.ENSP00000269305",0,0,0,0,0,0,0,0.54,0.54,"Cerebro"
"DNMT3A","IDH1",1845601,1844837,"9606.ENSP00000264709","9606.ENSP00000260985",0,0,0,0,0,0,0,0.54,0.54,"Cerebro"
"VEGFA","ITGA2",1855611,1847760,"9606.ENSP00000361125","9606.ENSP00000296585",0,0,0,0,0,0,0,0.539,0.539,"Cerebro"
"FOXM1","KRAS",1852579,1844404,"9606.ENSP00000342307","9606.ENSP00000256078",0,0,0,0,0,0,0,0.537,0.538,"Cerebro"
"MLL2","H3F3A",1854454,1848242,"9606.ENSP00000355778","9606.ENSP00000301067",0,0,0,0,0.054,0.259,0,0.392,0.537,"Cerebro"
"H3F3A","TOP2A",1860923,1854454,"9606.ENSP00000411532","9606.ENSP00000355778",0,0,0,0,0.105,0.279,0,0.338,0.536,"Cerebro"
"EP300","NANOG",1845316,1843195,"9606.ENSP00000263253","9606.ENSP00000229307",0,0,0,0,0,0.36,0,0.304,0.535,"Cerebro"
"EP300","DDX5",1845316,1843052,"9606.ENSP00000263253","9606.ENSP00000225792",0,0,0,0,0.123,0.378,0,0.215,0.535,"Cerebro"
"GLI2","NOTCH1",1854160,1846535,"9606.ENSP00000354586","9606.ENSP00000277541",0,0,0,0,0.067,0.114,0,0.481,0.534,"Cerebro"
"DLL4","CCL2",1843973,1843055,"9606.ENSP00000249749","9606.ENSP00000225831",0,0,0,0,0,0,0,0.532,0.532,"Cerebro"
"CDKN2A","TP63",1859838,1845611,"9606.ENSP00000394932","9606.ENSP00000264731",0,0,0,0,0.053,0.36,0,0.287,0.531,"Cerebro"
"EP300","H3F3A",1854454,1845316,"9606.ENSP00000355778","9606.ENSP00000263253",0,0,0,0,0.082,0.318,0,0.311,0.531,"Cerebro"
"ARID1A","CDH1",1850249,1844988,"9606.ENSP00000320485","9606.ENSP00000261769",0,0,0,0,0,0,0,0.53,0.53,"Cerebro"
"CREBBP","DDX5",1845124,1843052,"9606.ENSP00000262367","9606.ENSP00000225792",0,0,0,0,0.123,0.378,0,0.206,0.53,"Cerebro"
"RB1","KRAS",1845924,1844404,"9606.ENSP00000267163","9606.ENSP00000256078",0,0,0,0,0,0.061,0,0.516,0.526,"Cerebro"
"H3F3A","DNMT3A",1854454,1845601,"9606.ENSP00000355778","9606.ENSP00000264709",0,0,0,0,0,0.38,0,0.267,0.526,"Cerebro"
"PTPN11","NF1",1853658,1852389,"9606.ENSP00000351015","9606.ENSP00000340944",0,0,0,0,0.083,0,0,0.503,0.525,"Cerebro"
"MYC","MYCN",1856789,1846701,"9606.ENSP00000367207","9606.ENSP00000281043",0,0,0,0.711,0,0.36,0,0.895,0.524,"Cerebro"
"NRAS","NOTCH1",1855051,1846535,"9606.ENSP00000358548","9606.ENSP00000277541",0,0,0,0,0.049,0.128,0,0.471,0.523,"Cerebro"
"CDKN2A","NOTCH1",1859838,1846535,"9606.ENSP00000394932","9606.ENSP00000277541",0,0,0,0,0,0,0,0.523,0.523,"Cerebro"
"NOTCH1","RB1",1846535,1845924,"9606.ENSP00000277541","9606.ENSP00000267163",0,0,0,0,0,0.092,0,0.495,0.522,"Cerebro"
"EGFR","NF1",1853658,1846445,"9606.ENSP00000351015","9606.ENSP00000275493",0,0,0,0,0,0,0,0.521,0.521,"Cerebro"
"EGFR","PTCH1",1851463,1846445,"9606.ENSP00000332353","9606.ENSP00000275493",0,0,0,0,0.055,0.133,0,0.462,0.521,"Cerebro"
"PIK3R1","EP300",1846375,1845316,"9606.ENSP00000274335","9606.ENSP00000263253",0,0,0,0,0.107,0.399,0,0.177,0.52,"Cerebro"
"KRT15","KRT13",1844266,1843827,"9606.ENSP00000254043","9606.ENSP00000246635",0,0,0,0.973,0.507,0,0,0.816,0.518,"Cerebro"
"NANOG","DNMT3A",1845601,1843195,"9606.ENSP00000264709","9606.ENSP00000229307",0,0,0,0,0,0.068,0,0.504,0.518,"Cerebro"
"ABCG2","ABCD1",1843466,1842693,"9606.ENSP00000237612","9606.ENSP00000218104",0,0,0,0,0.056,0,0,0.509,0.517,"Cerebro"
"EIF1AX","TOP2A",1860923,1857062,"9606.ENSP00000411532","9606.ENSP00000368927",0.054,0,0,0,0.053,0,0,0.504,0.516,"Cerebro"
"NRAS","MYC",1856789,1855051,"9606.ENSP00000367207","9606.ENSP00000358548",0,0,0,0,0,0,0,0.515,0.515,"Cerebro"
"CDKN2A","NF1",1859838,1853658,"9606.ENSP00000394932","9606.ENSP00000351015",0,0,0,0,0,0,0,0.515,0.515,"Cerebro"
"CTNNB1","TCF12",1852818,1851305,"9606.ENSP00000344456","9606.ENSP00000331057",0,0,0,0,0.054,0.349,0,0.274,0.514,"Cerebro"
"CTNNB1","DDX5",1852818,1843052,"9606.ENSP00000344456","9606.ENSP00000225792",0,0,0,0,0.092,0.359,0,0.231,0.514,"Cerebro"
"CDKN2A","DNMT3A",1859838,1845601,"9606.ENSP00000394932","9606.ENSP00000264709",0,0,0,0,0,0.061,0,0.501,0.511,"Cerebro"
"FOXM1","CREBBP",1852579,1845124,"9606.ENSP00000342307","9606.ENSP00000262367",0,0,0,0,0,0.345,0,0.282,0.51,"Cerebro"
"RB1","DNMT3A",1845924,1845601,"9606.ENSP00000267163","9606.ENSP00000264709",0,0,0,0,0,0.285,0,0.344,0.51,"Cerebro"
"PTEN","BRAF",1855586,1847131,"9606.ENSP00000361021","9606.ENSP00000288602",0,0,0,0,0.19,0.173,0,0.324,0.508,"Cerebro"
"PIK3CA","NF1",1853658,1845446,"9606.ENSP00000351015","9606.ENSP00000263967",0,0,0,0,0.115,0,0,0.463,0.505,"Cerebro"
"EGFR","ABCG2",1846445,1843466,"9606.ENSP00000275493","9606.ENSP00000237612",0,0,0,0,0,0,0,0.505,0.505,"Cerebro"
"MYCN","KRAS",1846701,1844404,"9606.ENSP00000281043","9606.ENSP00000256078",0,0,0,0,0.043,0,0,0.503,0.504,"Cerebro"
"IDH2","DNMT3A",1851406,1845601,"9606.ENSP00000331897","9606.ENSP00000264709",0,0,0,0,0,0,0,0.504,0.504,"Cerebro"
"MYC","NF1",1856789,1853658,"9606.ENSP00000367207","9606.ENSP00000351015",0,0,0,0,0,0,0,0.504,0.504,"Cerebro"
"TP53","STAG2",1846083,1842691,"9606.ENSP00000269305","9606.ENSP00000218089",0,0,0,0,0,0,0,0.504,0.504,"Cerebro"
"NOTCH1","MYCN",1846701,1846535,"9606.ENSP00000281043","9606.ENSP00000277541",0,0,0,0,0,0,0,0.504,0.504,"Cerebro"
"TCF12","CREBBP",1851305,1845124,"9606.ENSP00000331057","9606.ENSP00000262367",0,0,0,0,0.067,0.395,0,0.189,0.503,"Cerebro"
"TP53","GFI1",1847499,1846083,"9606.ENSP00000294702","9606.ENSP00000269305",0,0,0,0,0,0.37,0,0.242,0.503,"Cerebro"
"NOTCH1","ITGA2",1847760,1846535,"9606.ENSP00000296585","9606.ENSP00000277541",0,0,0,0,0,0,0,0.503,0.503,"Cerebro"
"PTEN","CD44",1860096,1855586,"9606.ENSP00000398632","9606.ENSP00000361021",0,0,0,0,0,0,0,0.503,0.503,"Cerebro"
"SMARCA4","NOTCH1",1853627,1846535,"9606.ENSP00000350720","9606.ENSP00000277541",0,0,0,0,0.059,0.191,0,0.398,0.502,"Cerebro"
"PTPN11","TERT",1852389,1849199,"9606.ENSP00000340944","9606.ENSP00000309572",0,0,0,0,0.054,0,0,0.495,0.501,"Cerebro"
"MYC","TOP2A",1860923,1856789,"9606.ENSP00000411532","9606.ENSP00000367207",0,0,0,0,0.053,0.08,0,0.472,0.5,"Cerebro"
"TP53","RNF168",1850293,1846083,"9606.ENSP00000320898","9606.ENSP00000269305",0,0,0,0,0,0.324,0,0.29,0.5,"Cerebro"
"PTEN","EPHA3",1855586,1852002,"9606.ENSP00000361021","9606.ENSP00000337451",0,0,0,0,0.09,0.295,0,0.282,0.499,"Cerebro"
"PTEN","EP300",1855586,1845316,"9606.ENSP00000361021","9606.ENSP00000263253",0,0,0,0,0.1,0.057,0,0.457,0.499,"Cerebro"
"PIK3CA","TOP2A",1860923,1845446,"9606.ENSP00000411532","9606.ENSP00000263967",0,0,0,0,0.104,0.166,0,0.382,0.498,"Cerebro"
"PIK3R1","TPTE2",1857590,1846375,"9606.ENSP00000372437","9606.ENSP00000274335",0,0,0,0,0.061,0.258,0,0.338,0.498,"Cerebro"
"CTNNB1","PTCH1",1852818,1851463,"9606.ENSP00000344456","9606.ENSP00000332353",0,0,0,0,0.054,0,0,0.49,0.497,"Cerebro"
"SMARCA4","EPHA3",1853627,1852002,"9606.ENSP00000350720","9606.ENSP00000337451",0.048,0,0,0,0.052,0.33,0,0.266,0.497,"Cerebro"
"CTNNB1","RB1",1852818,1845924,"9606.ENSP00000344456","9606.ENSP00000267163",0,0,0,0,0.056,0,0,0.489,0.497,"Cerebro"
"NRAS","LZTR1",1855051,1842500,"9606.ENSP00000358548","9606.ENSP00000215739",0,0,0,0,0.052,0,0,0.491,0.496,"Cerebro"
"CDH1","CREBBP",1845124,1844988,"9606.ENSP00000262367","9606.ENSP00000261769",0,0,0,0,0.053,0.357,0,0.238,0.496,"Cerebro"
"ACAN","CDH1",1859267,1844988,"9606.ENSP00000387356","9606.ENSP00000261769",0,0,0,0,0,0,0,0.495,0.495,"Cerebro"
"EGFR","TCF12",1851305,1846445,"9606.ENSP00000331057","9606.ENSP00000275493",0,0,0,0,0,0.292,0,0.317,0.495,"Cerebro"
"RPL5","DDX5",1855221,1843052,"9606.ENSP00000359345","9606.ENSP00000225792",0,0,0,0,0.126,0.285,0,0.256,0.494,"Cerebro"
"SMARCA4","EPHA7",1854997,1853627,"9606.ENSP00000358309","9606.ENSP00000350720",0.048,0,0,0,0.052,0.33,0,0.258,0.491,"Cerebro"
"RPL5","CSNK2B",1856397,1855221,"9606.ENSP00000365025","9606.ENSP00000359345",0,0,0,0,0.055,0.483,0,0,0.491,"Cerebro"
"CDKN2A","CD44",1860096,1859838,"9606.ENSP00000398632","9606.ENSP00000394932",0,0,0,0,0,0,0,0.492,0.491,"Cerebro"
"RB1","NF1",1853658,1845924,"9606.ENSP00000351015","9606.ENSP00000267163",0,0,0,0,0,0,0,0.492,0.491,"Cerebro"
"MYC","PTPN11",1856789,1852389,"9606.ENSP00000367207","9606.ENSP00000340944",0,0,0,0,0,0,0,0.491,0.491,"Cerebro"
"MYC","FUBP1",1856789,1855347,"9606.ENSP00000367207","9606.ENSP00000359804",0,0,0,0,0.057,0,0,0.482,0.49,"Cerebro"
"SETD2","CREBBP",1859200,1845124,"9606.ENSP00000386759","9606.ENSP00000262367",0,0,0,0,0.283,0.12,0,0.256,0.49,"Cerebro"
"EP300","CD44",1860096,1845316,"9606.ENSP00000398632","9606.ENSP00000263253",0,0,0,0,0,0.325,0,0.273,0.488,"Cerebro"
"CTNNB1","IGFBP4",1852818,1846105,"9606.ENSP00000344456","9606.ENSP00000269593",0,0,0,0,0,0,0,0.488,0.488,"Cerebro"
"CTNNB1","CSNK2B",1856397,1852818,"9606.ENSP00000365025","9606.ENSP00000344456",0,0,0,0,0,0.376,0,0.212,0.487,"Cerebro"
"TOP2A","ADD3",1860923,1853290,"9606.ENSP00000411532","9606.ENSP00000348381",0.058,0,0,0,0,0,0,0.476,0.485,"Cerebro"
"TOP2A","KANSL1",1860923,1845137,"9606.ENSP00000411532","9606.ENSP00000262419",0,0,0,0,0,0,0,0.485,0.485,"Cerebro"
"DDX3X","DDX5",1858776,1843052,"9606.ENSP00000382840","9606.ENSP00000225792",0,0,0.525,0.839,0.321,0.096,0,0.766,0.484,"Cerebro"
"EP300","TP63",1845611,1845316,"9606.ENSP00000264731","9606.ENSP00000263253",0,0,0,0,0.072,0.368,0,0.188,0.483,"Cerebro"
"NIPBL","TOP2A",1860923,1846802,"9606.ENSP00000411532","9606.ENSP00000282516",0,0,0,0,0.441,0,0,0.113,0.483,"Cerebro"
"PIK3CA","ATRX",1855886,1845446,"9606.ENSP00000362441","9606.ENSP00000263967",0,0,0,0,0.266,0.104,0,0.275,0.482,"Cerebro"
"EGFR","CCL2",1846445,1843055,"9606.ENSP00000275493","9606.ENSP00000225831",0,0,0,0,0,0,0,0.481,0.481,"Cerebro"
"EGFR","IDH1",1846445,1844837,"9606.ENSP00000275493","9606.ENSP00000260985",0,0,0,0,0,0,0,0.481,0.481,"Cerebro"
"TP53","IDH2",1851406,1846083,"9606.ENSP00000331897","9606.ENSP00000269305",0,0,0,0,0,0,0,0.481,0.481,"Cerebro"
"MYCN","CDH1",1846701,1844988,"9606.ENSP00000281043","9606.ENSP00000261769",0,0,0,0,0,0,0,0.48,0.48,"Cerebro"
"EGFR","TOP2A",1860923,1846445,"9606.ENSP00000411532","9606.ENSP00000275493",0,0,0,0,0,0,0,0.479,0.479,"Cerebro"
"CTNNB1","DDX3X",1858776,1852818,"9606.ENSP00000382840","9606.ENSP00000344456",0,0,0,0,0.058,0,0,0.468,0.478,"Cerebro"
"SMARCA4","CSNK2B",1856397,1853627,"9606.ENSP00000365025","9606.ENSP00000350720",0,0,0,0,0.066,0.436,0,0.089,0.478,"Cerebro"
"PTEN","TERT",1855586,1849199,"9606.ENSP00000361021","9606.ENSP00000309572",0,0,0,0,0.1,0,0,0.441,0.475,"Cerebro"
"MAX","MYCN",1853721,1846701,"9606.ENSP00000351490","9606.ENSP00000281043",0,0,0,0.729,0,0.368,0,0.634,0.474,"Cerebro"
"TP53","QKI",1854298,1846083,"9606.ENSP00000355094","9606.ENSP00000269305",0,0,0,0,0,0,0,0.473,0.473,"Cerebro"
"EGFR","ITGA2",1847760,1846445,"9606.ENSP00000296585","9606.ENSP00000275493",0,0,0,0,0,0,0,0.471,0.471,"Cerebro"
"QKI","CIC",1854298,1842278,"9606.ENSP00000355094","9606.ENSP00000160740",0,0,0,0,0,0,0,0.47,0.47,"Cerebro"
"NF1","IDH1",1853658,1844837,"9606.ENSP00000351015","9606.ENSP00000260985",0,0,0,0,0,0,0,0.47,0.47,"Cerebro"
"PTPN11","PLCG1",1852389,1843693,"9606.ENSP00000340944","9606.ENSP00000244007",0,0,0,0.628,0.066,0.36,0,0.421,0.469,"Cerebro"
"TP53","RBBP6",1849988,1846083,"9606.ENSP00000317872","9606.ENSP00000269305",0,0,0,0,0,0.324,0,0.244,0.467,"Cerebro"
"EGFR","BRAF",1847131,1846445,"9606.ENSP00000288602","9606.ENSP00000275493",0,0,0,0.626,0,0.292,0,0.676,0.467,"Cerebro"
"NOTCH1","ABCG2",1846535,1843466,"9606.ENSP00000277541","9606.ENSP00000237612",0,0,0,0,0.05,0,0,0.458,0.463,"Cerebro"
"ARID1A","TOP2A",1860923,1850249,"9606.ENSP00000411532","9606.ENSP00000320485",0,0,0,0,0.094,0.397,0,0.088,0.459,"Cerebro"
"TLR6","CCL2",1857458,1843055,"9606.ENSP00000371376","9606.ENSP00000225831",0,0,0,0,0.044,0,0,0.458,0.459,"Cerebro"
"TOP2A","CLCN7",1860923,1857566,"9606.ENSP00000411532","9606.ENSP00000372193",0.064,0,0,0,0.054,0,0,0.438,0.458,"Cerebro"
"TERT","NANOG",1849199,1843195,"9606.ENSP00000309572","9606.ENSP00000229307",0,0,0,0,0,0,0,0.457,0.457,"Cerebro"
"EGFR","CAMK2A",1858598,1846445,"9606.ENSP00000381412","9606.ENSP00000275493",0,0,0,0,0.053,0.36,0,0.173,0.455,"Cerebro"
"EGFR","EP300",1846445,1845316,"9606.ENSP00000275493","9606.ENSP00000263253",0,0,0,0,0,0,0,0.454,0.454,"Cerebro"
"DDX3X","CDH1",1858776,1844988,"9606.ENSP00000382840","9606.ENSP00000261769",0,0,0,0,0.054,0,0,0.446,0.454,"Cerebro"
